,addr_mask,chksum,code,gw,id,len,ptr,reserved,seq,time,ts_ori,ts_rx,ts_tx,type,unused
273,,,,,,1514,,,,1488942612.843193,,,,,
274,,,,,,242,,,,1488942612.843194,,,,,
275,,45949.0,0.0,,17631.0,1514,,,12.0,1488942613.890807,,,,8.0,
276,,,,,,1514,,,,1488942613.890826,,,,,
277,,,,,,1514,,,,1488942613.890829,,,,,
278,,,,,,1514,,,,1488942613.890832,,,,,
279,,,,,,1514,,,,1488942613.890835,,,,,
280,,,,,,1514,,,,1488942613.890837,,,,,
281,,,,,,1514,,,,1488942613.890874,,,,,
282,,,,,,1514,,,,1488942613.890877,,,,,
283,,,,,,1514,,,,1488942613.890879,,,,,
284,,,,,,1514,,,,1488942613.890881,,,,,
285,,,,,,242,,,,1488942613.890883,,,,,
286,,47997.0,0.0,,17631.0,1514,,,12.0,1488942613.890916,,,,0.0,
287,,,,,,1514,,,,1488942613.890925,,,,,
288,,,,,,1514,,,,1488942613.890927,,,,,
289,,,,,,1514,,,,1488942613.890928,,,,,
290,,,,,,1514,,,,1488942613.890929,,,,,
291,,,,,,1514,,,,1488942613.89093,,,,,
292,,,,,,1514,,,,1488942613.890931,,,,,
293,,,,,,1514,,,,1488942613.890932,,,,,
294,,,,,,1514,,,,1488942613.890933,,,,,
295,,,,,,1514,,,,1488942613.890934,,,,,
296,,,,,,242,,,,1488942613.890935,,,,,
297,,61982.0,0.0,,17631.0,1514,,,13.0,1488942614.91486,,,,8.0,
298,,,,,,1514,,,,1488942614.914882,,,,,
299,,,,,,1514,,,,1488942614.914888,,,,,
300,,,,,,1514,,,,1488942614.91489,,,,,
301,,,,,,1514,,,,1488942614.914891,,,,,
302,,,,,,1514,,,,1488942614.914893,,,,,
303,,,,,,1514,,,,1488942614.914894,,,,,
304,,,,,,1514,,,,1488942614.914896,,,,,
305,,,,,,1514,,,,1488942614.914898,,,,,
306,,,,,,1514,,,,1488942614.9149,,,,,
307,,,,,,242,,,,1488942614.914901,,,,,
308,,64030.0,0.0,,17631.0,1514,,,13.0,1488942614.914934,,,,0.0,
309,,,,,,1514,,,,1488942614.914946,,,,,
310,,,,,,1514,,,,1488942614.914948,,,,,
311,,,,,,1514,,,,1488942614.914949,,,,,
312,,,,,,1514,,,,1488942614.91495,,,,,
313,,,,,,1514,,,,1488942614.914951,,,,,
314,,,,,,1514,,,,1488942614.914952,,,,,
315,,,,,,1514,,,,1488942614.914953,,,,,
316,,,,,,1514,,,,1488942614.914954,,,,,
317,,,,,,1514,,,,1488942614.914955,,,,,
318,,,,,,242,,,,1488942614.914956,,,,,
319,,14016.0,0.0,,17631.0,1514,,,14.0,1488942615.93867,,,,8.0,
320,,,,,,1514,,,,1488942615.938691,,,,,
321,,,,,,1514,,,,1488942615.938693,,,,,
322,,,,,,1514,,,,1488942615.938695,,,,,
323,,,,,,1514,,,,1488942615.938697,,,,,
324,,,,,,1514,,,,1488942615.938745,,,,,
325,,,,,,1514,,,,1488942615.938749,,,,,
326,,,,,,1514,,,,1488942615.938751,,,,,
327,,,,,,1514,,,,1488942615.938752,,,,,
328,,,,,,1514,,,,1488942615.938788,,,,,
329,,,,,,242,,,,1488942615.93879,,,,,
330,,16064.0,0.0,,17631.0,1514,,,14.0,1488942615.938823,,,,0.0,
331,,,,,,1514,,,,1488942615.938832,,,,,
332,,,,,,1514,,,,1488942615.938834,,,,,
333,,,,,,1514,,,,1488942615.938835,,,,,
334,,,,,,1514,,,,1488942615.938836,,,,,
335,,,,,,1514,,,,1488942615.938837,,,,,
336,,,,,,1514,,,,1488942615.938838,,,,,
337,,,,,,1514,,,,1488942615.938839,,,,,
338,,,,,,1514,,,,1488942615.93884,,,,,
339,,,,,,1514,,,,1488942615.938841,,,,,
340,,,,,,242,,,,1488942615.938842,,,,,
341,,22205.0,0.0,,17631.0,1514,,,15.0,1488942616.939145,,,,8.0,
342,,,,,,1514,,,,1488942616.939162,,,,,
343,,,,,,1514,,,,1488942616.939167,,,,,
344,,,,,,1514,,,,1488942616.939169,,,,,
345,,,,,,1514,,,,1488942616.939171,,,,,
346,,,,,,1514,,,,1488942616.939173,,,,,
347,,,,,,1514,,,,1488942616.939203,,,,,
348,,,,,,1514,,,,1488942616.939207,,,,,
349,,,,,,1514,,,,1488942616.939208,,,,,
350,,,,,,1514,,,,1488942616.93921,,,,,
351,,,,,,242,,,,1488942616.939212,,,,,
352,,24253.0,0.0,,17631.0,1514,,,15.0,1488942616.939247,,,,0.0,
353,,,,,,1514,,,,1488942616.939256,,,,,
354,,,,,,1514,,,,1488942616.939257,,,,,
355,,,,,,1514,,,,1488942616.939259,,,,,
356,,,,,,1514,,,,1488942616.93926,,,,,
357,,,,,,1514,,,,1488942616.939261,,,,,
358,,,,,,1514,,,,1488942616.939262,,,,,
359,,,,,,1514,,,,1488942616.939263,,,,,
360,,,,,,1514,,,,1488942616.939265,,,,,
361,,,,,,1514,,,,1488942616.939266,,,,,
362,,,,,,242,,,,1488942616.939267,,,,,
363,,64324.0,0.0,,17631.0,1514,,,16.0,1488942617.986658,,,,8.0,
364,,,,,,1514,,,,1488942617.986676,,,,,
365,,,,,,1514,,,,1488942617.986679,,,,,
366,,,,,,1514,,,,1488942617.986681,,,,,
367,,,,,,1514,,,,1488942617.986684,,,,,
368,,,,,,1514,,,,1488942617.986686,,,,,
369,,,,,,1514,,,,1488942617.986707,,,,,
370,,,,,,1514,,,,1488942617.98671,,,,,
